group_id,topic,subtopic,zone,n_prompts,n_answers,demand,lo,hi,basis,demand_share,gap,gap_bad,dominant_run,gap_by_run,top_code,n_citations,institutional_share,lever_earned,lever_ugc,lever_owned,lever_comp_owned,merged_from
Reputation & narratives × Lawsuits & cover-up,Reputation & narratives,Lawsuits & cover-up,,27,213,40650.0,40000.0,41310.0,topic-google:subtopic,0.03229223639823596,0.6296296296296297,0.48148148148148145,R9,"{""R1"": 1.0, ""R7"": 0.0, ""R9"": 0.5833}",AI AMPLIFIES A HARMFUL MYTH,1162,0.29948364888123924,0.4199655765920826,0.02495697074010327,0.008605851979345954,0.0,[]
Reputation & narratives × Other narratives,Reputation & narratives,Other narratives,,13,93,31005.0,31000.0,31010.0,topic-google:subtopic,0.024630277725148978,0.3076923076923077,0.07692307692307693,R9,"{""R1"": 1.0, ""R3"": 1.0, ""R7"": 0.0, ""R9"": 0.0}",MYTH DEFENDED,579,0.17616580310880828,0.7668393782383419,0.02072538860103627,0.018998272884283247,0.0017271157167530224,[]
Serious risks & contraindications × Allergy & hypersensitivity,Serious risks & contraindications,Allergy & hypersensitivity,,16,238,853.0,700.0,1040.0,topic-google:subtopic,0.0006776206063393672,0.5,0.1875,R4,"{""R4"": 0.6154, ""R5"": 0.0}",INCOMPLETE / OMISSION,0,,,,,,[]
Serious risks & contraindications × Hypoglycemia,Serious risks & contraindications,Hypoglycemia,,20,266,173.0,100.0,300.0,topic-google:subtopic,0.0001374306739703523,0.15,0.05,R4,"{""R1"": 1.0, ""R4"": 0.1818, ""R5"": 0.0}",ANSWERED CORRECTLY,53,0.39622641509433965,0.6037735849056604,0.0,0.0,0.0,[]
Serious risks & contraindications × Kidney safety,Serious risks & contraindications,Kidney safety,,43,558,303.0,200.0,460.0,topic-google:subtopic,0.0002407022786879581,0.46511627906976744,0.18604651162790697,R4,"{""R1"": 1.0, ""R4"": 0.375, ""R5"": 0.0, ""R6"": 0.5}",ANSWERED CORRECTLY,948,0.4525316455696203,0.4936708860759494,0.006329113924050633,0.04746835443037975,0.0,[]
Serious risks & contraindications × Pancreatitis,Serious risks & contraindications,Pancreatitis,,25,336,1196.0,1000.0,1430.0,topic-google:subtopic,0.0009500987634019732,0.24,0.04,R4,"{""R4"": 0.5455, ""R5"": 0.0, ""R9"": 0.0}",COMPETITOR WITHIN LABEL,333,0.2222222222222222,0.6216216216216216,0.0,0.036036036036036036,0.0,[]
Serious risks & contraindications × Pregnancy & lactation,Serious risks & contraindications,Pregnancy & lactation,,43,507,2083.0,1400.0,3100.0,topic-google:subtopic,0.001654728866359791,0.4418604651162791,0.3023255813953488,R4,"{""R1"": 1.0, ""R2"": 1.0, ""R3"": 0.0, ""R4"": 0.5714, ""R5"": 0.1538, ""R9"": 0.0}",COMPETITOR WITHIN LABEL,880,0.24886363636363637,0.7125,0.011363636363636364,0.014772727272727272,0.0,[]
Serious risks & contraindications × Severe GI & gastroparesis,Serious risks & contraindications,Severe GI & gastroparesis,,23,300,663.0,400.0,1100.0,topic-google:subtopic,0.0005266851840597895,0.43478260869565216,0.2608695652173913,R4,"{""R3"": 0.0, ""R4"": 0.6923, ""R5"": 0.0, ""R9"": 0.1667}",INCOMPLETE / OMISSION,284,0.14084507042253522,0.4612676056338028,0.007042253521126761,0.035211267605633804,0.0,[]
Serious risks & contraindications × Surgery & anesthesia,Serious risks & contraindications,Surgery & anesthesia,,21,281,371.0,300.0,460.0,topic-google:subtopic,0.0002947212719248596,0.8095238095238095,0.6666666666666666,R4,"{""R1"": 1.0, ""R3"": 1.0, ""R4"": 0.9286, ""R5"": 0.0}",DANGEROUS LABEL ERROR,183,0.14207650273224043,0.819672131147541,0.01639344262295082,0.01092896174863388,0.0,[]
Serious risks & contraindications × Thyroid / MTC,Serious risks & contraindications,Thyroid / MTC,,97,1030,4600.0,4000.0,5290.0,median across merged prompts,0.003654226013084512,0.4948453608247423,0.13402061855670103,R4,"{""R1"": 1.0, ""R2"": 0.625, ""R3"": 0.6667, ""R4"": 0.4815, ""R5"": 0.0, ""R9"": 0.1667}",COMPETITOR WITHIN LABEL,2939,0.2963593058863559,0.6403538618577748,0.014630826811840763,0.016332085743450152,0.006464783940115686,"[""Serious risks & contraindications × Elderly"", ""Serious risks & contraindications × Gallbladder"", ""Serious risks & contraindications × Immunosuppression & other"", ""Serious risks & contraindications × Liver / hepatic""]"
Serious risks & contraindications × Vision & retinopathy,Serious risks & contraindications,Vision & retinopathy,,13,140,164.0,100.0,270.0,topic-google:subtopic,0.00013028110133605654,0.07692307692307693,0.07692307692307693,R9,"{""R2"": 1.0, ""R4"": 0.0, ""R5"": 0.0, ""R9"": 0.0}",MYTH DEFENDED,354,0.2598870056497175,0.5056497175141242,0.002824858757062147,0.02824858757062147,0.00847457627118644,[]
Side effects & tolerability × Fatigue & energy,Side effects & tolerability,Fatigue & energy,,10,60,801.0,600.0,1070.0,topic-google:subtopic,0.0006363119644523248,0.8,0.0,R3,"{""R2"": 1.0, ""R3"": 0.6667}",NO CLEAR WINNER,458,0.08733624454148471,0.8013100436681223,0.043668122270742356,0.006550218340611353,0.019650655021834062,[]
Side effects & tolerability × GI & nausea,Side effects & tolerability,GI & nausea,,49,296,9872.0,6300.0,15470.0,topic-google:subtopic,0.00784228678286311,0.6938775510204082,0.16326530612244897,R3,"{""R1"": 1.0, ""R2"": 1.0, ""R3"": 0.4583, ""R7"": 0.0}",NO CLEAR WINNER,2495,0.0813627254509018,0.8424849699398798,0.026853707414829658,0.024849699398797595,0.008817635270541082,[]
Side effects & tolerability × LIVING ON THE DRUG,Side effects & tolerability,,LIVING ON THE DRUG,58,336,247764.0,246000.0,249540.0,median across merged prompts,0.19682296824040676,0.7931034482758621,0.29310344827586204,R2,"{""R1"": 1.0, ""R2"": 1.0, ""R3"": 0.8, ""R7"": 0.5294, ""R9"": 0.0}",LEAK TO A COMPETITOR,2431,0.15055532702591526,0.7540106951871658,0.016454134101192924,0.03455368161250514,0.015220074043603456,"[""Side effects & tolerability × HEART & KIDNEY"", ""Side effects & tolerability × PRICE & ACCESS"", ""Side effects & tolerability × SAFETY & CONTRAINDICATIONS""]"
Side effects & tolerability × STARTING & SWITCHING,Side effects & tolerability,,STARTING & SWITCHING,16,90,365.0,350.0,380.0,topic-google:zone×subtopic,0.0002899548901686624,0.75,0.3125,R2,"{""R2"": 0.9167, ""R7"": 0.3333, ""R9"": 0.0}",NO CLEAR WINNER,714,0.12464985994397759,0.7815126050420168,0.03081232492997199,0.02661064425770308,0.008403361344537815,[]
Side effects & tolerability × WEIGHT LOSS,Side effects & tolerability,,WEIGHT LOSS,18,123,160011.0,130000.0,196950.0,topic-google:zone×subtopic,0.12711225186514477,0.7222222222222222,0.2222222222222222,R2,"{""R1"": 1.0, ""R2"": 0.8571, ""R3"": 1.0, ""R7"": 0.0, ""R9"": 0.25}",LEAK TO A COMPETITOR,934,0.19700214132762311,0.728051391862955,0.020342612419700215,0.014989293361884369,0.006423982869379015,[]
